Language,Code,Bot,Cards,Contributors
English,en,✔️,✔️,@circumspect
French,fr,✔️,🚧,@Ylkhana
German,de,🚧,❌,@Gabbalo
Italian,it,🚧,🚧,"@d-beezee, @wishmerhill"
Spanish,es,🚧,✔️,@Sinesthesyc
